timestamp	spiral_iter	ralph_iter	story_id	story_title	status	duration_sec	model	retry_num	commit_sha	run_id	cache_hit	cache_read_tokens	cache_creation_tokens	review_tokens	wall_seconds	user_cpu_s	sys_cpu_s	peak_rss_kb	batch_id	decompose_secs	impl_secs	verify_secs	retry_escalation_count	failure_root_cause	failed_files	scope_tag	error_signature
2026-04-16T13:12:23Z	2	1	US-002	Enhance BEV C02 KP — BMS components, HV cable, OBC, battery pack theory	keep	369	sonnet	0	8014757c8c1d6bc311652fe409699b53ae50b136	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T13:21:09Z	2	2	US-003	Enhance BEV C03-C04 KP — thermal cooling and electric drive train theory	keep	477	sonnet	0	a5654c139ee9ff264c8b83dc520781fd0e9c85e8	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T13:38:23Z	3	1	US-005	Enhance BEV KK practical procedures — step-by-step accuracy and safety checklists	keep	546	sonnet	0	4a09c4dc18187cf5a72e6a25eb82c7b575e2e9c9	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T13:59:53Z	4	1	US-008	Enhance Aesthetic C03 KP — manual body massage techniques and anatomy	keep	551	sonnet	0	ef484fb9ddeb3e4fc3e25d0e195aeead4d01d4e3	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T14:17:39Z	5	1	US-009	Enhance Aesthetic C04 KP — electrotherapy modalities (6 types) with safety	keep	623	sonnet	0	ea0e483301201672d83469c0505c4e47d3f76fbe	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T14:36:31Z	6	1	US-012	Enhance Aesthetic KK practical procedures — treatment techniques and hygiene	keep	440	sonnet	0	d8b10c3e26fd3e681fe880865a95ca593d0655fc	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T15:31:55Z	10	1	US-013	Create BEV C01-C02 Knowledge Assessments with Integrated Answer Schemes	keep	316	sonnet	0	ceb38046cd5ad2b6e088d480e14a350fd9bd0b05	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T15:43:29Z	11	1	US-014	Build Aesthetic Services Bilingual Terminology Glossary with Consistency Validator	keep	305	sonnet	0	a03cbd9887f2307e06815c39bc6307137e804266	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T15:59:52Z	12	1	US-015	Create BEV C05 Performance Assessment with Supervisor Competency Rubrics	keep	584	sonnet	0	bd0f77e844c275e32bf38a0530fb00914c10f76d	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T16:15:16Z	13	1	US-004	Enhance BEV KT question quality — varied formats with answer schemes	keep	512	sonnet	0	79ea61c89dc67bc66ee24e8192bff6cddca67575	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T16:37:57Z	14	1	US-016	Create BEV C03 Thermal System Knowledge Assessment with Scenario-Based Diagnostics	keep	559	sonnet	0	fd9b038f6f2473174f718f4cd835af20eedb789f	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T16:51:33Z	15	1	US-017	Build WIM Format Compliance Validator Against Buku Panduan WIM Edisi 2020 Standards	keep	379	sonnet	0	87065c769bca762500712710b01ef9a84ce7c32d	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T17:30:26Z	17	1	US-020	Implement IT Level 3 Knowledge Assessment with Competency-Based Rubrics	keep	687	sonnet	0	391bb4d2161acabe728874c230d15044d88a32a9	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-16T17:44:24Z	18	1	US-018	Create Aesthetic C03 Knowledge Assessment with Manual Technique Competency Questions	keep	513	sonnet	0	802fccae233aca3a1c7a5da9a9f3ffeeaaa254a8	69e0dbbb149e	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-17T01:28:38Z	2	2	US-023	Create Aesthetic C04 Performance Assessment with Electrotherapy Modality Parameter Setting and Safety Competency	reject	624	sonnet	1		69e180a1b4	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-17T01:39:02Z	3	1	US-024	Create WIM Lesson Plan (PM) Format Validator for 4-Phase Structure Compliance	reject	418	sonnet	1		69e180a1b4	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-17T01:51:24Z	3	2	US-023	Create Aesthetic C04 Performance Assessment with Electrotherapy Modality Parameter Setting and Safety Competency	keep	566	opus	1	06256025d15d29f8cfa095ca62201a043783a1ec	69e180a1b4	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-17T02:14:54Z	5	1	US-024	Create BEV C04 Knowledge Assessment with Electric Drive Train Diagnostics Scenarios	keep	663	sonnet	0	b8d8a36e4fe89a88501f0823d1ea4759bb57665c	69e180a1b4	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-17T02:22:34Z	5	2	US-025	Create Aesthetic C01 Performance Assessment with Client Consultation Scenario Rubrics	keep	321	sonnet	0	cd700ff5ed895d24cb68c0cbc2c0e20efdb45807	69e180a1b4	false	0	0	0	0	0	0	0		0	0	0	0				
2026-04-17T02:44:31Z	6	1	US-027	Create KT Question Diversity Analyzer with Question Type Distribution Metrics and Recommendations	reject	713	sonnet	1		69e180a1b4	false	0	0	0	0	0	0	0		0	0	0	0				
